Date,DIA,DVY,FVD,IVV,IWB,IWR,OEF,RSP,SCHV,SCHX,SPHQ,SPLG,SPY,VO,VOO,VTV,VYM
2016-01-07,135.2945098876953,51.656288146972656,18.58787727355957,165.63629150390625,92.44084930419922,32.86512756347656,74.06661224365234,61.73652267456055,10.531821250915527,6.5711140632629395,19.276203155517578,19.270832061767578,164.95077514648438,97.93783569335938,150.55007934570312,60.68791961669922,47.379276275634766
2016-01-08,133.8837432861328,51.302146911621094,18.458852767944336,163.80142211914062,91.47962188720703,32.46405792236328,73.33872985839844,60.98269271850586,10.396824836730957,6.497154235839844,19.034278869628906,19.092966079711914,163.14024353027344,96.67330169677734,148.95028686523438,59.9701042175293,46.84626388549805
2016-01-11,134.36767578125,51.42255783081055,18.50723648071289,163.97132873535156,91.4195556640625,32.34543228149414,73.5785140991211,60.78789520263672,10.42019271850586,6.495732307434082,19.017004013061523,19.008134841918945,163.3017120361328,96.20877075195312,148.96722412109375,59.931068420410156,46.8980827331543
2016-01-12,135.28614807128906,51.472129821777344,18.53949546813965,165.2370147705078,92.13188171386719,32.479129791259766,74.21221923828125,61.075870513916016,10.48249626159668,6.546936511993408,19.207082748413086,18.973722457885742,164.61927795410156,96.64749908447266,150.20298767089844,60.29779815673828,47.149776458740234
2016-01-13,132.33370971679688,50.70010757446289,18.25724983215332,161.2190399169922,89.771728515625,31.614431381225586,72.38817596435547,59.5428466796875,10.26962947845459,6.381947040557861,18.809640884399414,18.747879028320312,160.51361083984375,93.94635772705078,146.52943420410156,59.041587829589844,46.268821716308594
2016-01-14,134.1707763671875,51.585472106933594,18.50723648071289,163.7759246826172,91.17926788330078,31.950822830200195,73.732666015625,60.3559455871582,10.427979469299316,6.4800848960876465,19.00836753845215,18.92989158630371,163.1487274169922,94.96143341064453,148.90794372558594,60.00129699707031,47.11277770996094
2016-01-15,131.03292846679688,50.86299133300781,18.18467140197754,160.32705688476562,89.2396469116211,31.39232063293457,72.03707122802734,59.204063415527344,10.212515830993652,6.343541622161865,18.766441345214844,18.547069549560547,159.64654541015625,93.25814819335938,145.7168426513672,58.70607376098633,46.20219802856445
2016-01-19,131.31195068359375,50.997589111328125,18.281435012817383,160.41207885742188,89.25677490234375,31.237070083618164,72.10557556152344,59.02618408203125,10.217710494995117,6.34496545791626,18.80099868774414,18.542837142944336,159.85902404785156,92.64741516113281,145.8776397705078,58.7138786315918,46.19479751586914
2016-01-20,129.33416748046875,50.12636947631836,18.023386001586914,158.55174255371094,88.25265502929688,30.948116302490234,71.2149658203125,58.3994026184082,10.064544677734375,6.276695251464844,18.61955451965332,18.455066680908203,157.81044006347656,91.92481994628906,144.16783142089844,57.816585540771484,45.53593444824219
2016-01-21,130.1466522216797,50.275123596191406,18.08789825439453,159.37570190429688,88.64743041992188,31.064563751220703,71.55748748779297,58.93302536010742,10.113868713378906,6.303718090057373,18.70595359802246,18.456125259399414,158.6945343017578,92.2861099243164,144.870361328125,58.081878662109375,45.839454650878906
2016-01-22,131.94369506835938,51.2454948425293,18.4749755859375,162.66314697265625,90.49263763427734,31.776153564453125,73.03045654296875,60.09337615966797,10.30077838897705,6.428882122039795,18.9910831451416,18.76055335998535,161.9501953125,94.29042053222656,147.84141540527344,59.111820220947266,46.69820022583008
2016-01-25,130.2286834716797,50.416770935058594,18.216922760009766,160.1826629638672,89.08515167236328,31.211191177368164,72.01997375488281,58.949954986572266,10.150211334228516,6.330742359161377,18.749160766601562,18.69512367248535,159.50205993652344,92.59578704833984,145.64915466308594,58.081878662109375,46.039329528808594
2016-01-26,132.55917358398438,51.195899963378906,18.50723648071289,162.35731506347656,90.38105010986328,31.776153564453125,72.91911315917969,60.0340690612793,10.318951606750488,6.420348644256592,19.034278869628906,18.72113800048828,161.67811584472656,94.25604248046875,147.62136840820312,59.080589294433594,46.80924606323242
2016-01-27,130.7210235595703,51.04716110229492,18.458852767944336,160.61593627929688,89.35977935791016,31.476438522338867,72.08843994140625,59.576690673828125,10.27221965789795,6.353499412536621,18.93059730529785,18.55891227722168,159.91859436035156,93.24958801269531,145.94534301757812,58.77631378173828,46.57234191894531
2016-01-28,131.71389770507812,51.61380386352539,18.668516159057617,161.4908447265625,89.71163177490234,31.41819953918457,72.73929595947266,59.61906051635742,10.324142456054688,6.383369445800781,19.08612632751465,18.708871841430664,160.7515869140625,93.00011444091797,146.7410125732422,59.02598190307617,46.883262634277344
2016-01-29,134.8813934326172,52.7400016784668,19.12010955810547,165.32192993164062,91.96025085449219,32.278594970703125,74.38350677490234,61.30455780029297,10.578544616699219,6.536978244781494,19.578611373901367,19.000747680664062,164.67027282714844,95.46037292480469,150.45693969726562,60.57868576049805,48.023338317871094
2016-02-01,134.85690307617188,52.867488861083984,19.152372360229492,165.30494689941406,91.98600769042969,32.37131881713867,74.3578109741211,61.279151916503906,10.560376167297363,6.538401126861572,19.604534149169922,19.21543312072754,164.61080932617188,95.79586791992188,150.32154846191406,60.47726058959961,47.904876708984375
2016-02-02,132.45249938964844,52.39292526245117,18.934633255004883,162.32333374023438,90.26951599121094,31.672649383544922,73.03900146484375,60.0086784362793,10.373465538024902,6.413238048553467,19.371252059936523,18.76704216003418,161.6441192626953,93.55926513671875,147.595947265625,59.283477783203125,47.12757110595703
2016-02-03,133.92132568359375,53.07998275756836,19.152372360229492,163.18980407714844,90.76729583740234,31.916336059570312,73.36442565917969,60.59309768676758,10.446151733398438,6.4473724365234375,19.50949478149414,18.593603134155273,162.61318969726562,94.30767059326172,148.4593505859375,59.76723861694336,47.60137939453125
2016-02-04,134.69265747070312,52.994991302490234,19.192689895629883,163.5465850830078,90.9732666015625,32.06510925292969,73.38157653808594,60.94034194946289,10.469512939453125,6.460173606872559,19.569971084594727,18.922603607177734,162.86817932128906,94.85820770263672,148.64553833007812,59.9622917175293,47.675392150878906
2016-02-05,132.8873748779297,52.81082534790039,19.04753875732422,160.4205780029297,89.17100524902344,31.340576171875,72.06275177001953,59.90703582763672,10.350102424621582,6.332167148590088,19.38852882385254,18.519569396972656,159.76556396484375,92.81085205078125,145.85223388671875,59.29907989501953,47.19419860839844
2016-02-08,131.58265686035156,52.85333251953125,18.958826065063477,158.262939453125,87.83210754394531,30.603092193603516,71.46330261230469,58.6450309753418,10.24626350402832,6.238292694091797,19.250286102294922,18.030988693237305,157.61489868164062,90.4796142578125,143.84616088867188,58.65925598144531,46.97210693359375
2016-02-09,131.49246215820312,52.83208465576172,18.974960327148438,158.2034454345703,87.67765045166016,30.501754760742188,71.40335083007812,58.467185974121094,10.222900390625,6.2368693351745605,19.310773849487305,18.295377731323242,157.62342834472656,90.34198760986328,143.8885040283203,58.58903884887695,46.920291900634766
